1.995465	1.995465	
8.480726	8.480726	
18.095238	18.095238	
27.573696	27.573696	
44.625850	44.625850	
49.456777	49.456777	
54.944306	54.944306	
60.069022	60.069022	
67.914827	67.914827	
75.352469	75.352469	
82.608705	82.608705	
87.552015	87.552015	
91.633648	91.633648	
107.053149	107.053149	
114.309385	114.309385	
121.004413	121.004413	
125.902372	125.902372	
138.374028	138.374028	
145.086046	145.086046	
154.473801	154.473801	
159.008948	159.008948	
165.993075	165.993075	
172.070173	172.070173	
180.006681	180.006681	
187.081511	187.081511	
195.925048	195.925048	
206.083778	206.083778	
213.974935	213.974935	
219.145003	219.145003	
227.988540	227.988540	
240.505547	240.505547	
