2.267574	2.267574	
13.106576	13.106576	
25.034014	25.034014	
32.653061	32.653061	
39.546485	39.546485	
46.394558	46.394558	
53.968254	53.968254	
67.755102	67.755102	
81.723356	81.723356	
89.931973	89.931973	
97.732426	97.732426	
108.253968	108.253968	
118.503401	118.503401	
127.573696	127.573696	
136.643991	136.643991	
144.716553	144.716553	
153.015873	153.015873	
159.229025	159.229025	
165.170068	165.170068	
173.015873	173.015873	
181.632653	181.632653	
189.070295	189.070295	
196.235828	196.235828	
204.807256	204.807256	
213.514739	213.514739	
221.859410	221.859410	
230.975057	230.975057	
243.809524	243.809524	
250.612245	250.612245	
257.913832	257.913832	
264.535147	264.535147	
274.739229	274.739229	
282.222222	282.222222	
292.018141	292.018141	
302.766440	302.766440	
311.201814	311.201814	
317.505669	317.505669	
332.471655	332.471655	
343.764172	343.764172	
353.741497	353.741497	
360.362812	360.362812	
370.884354	370.884354	
388.616780	388.616780	
