1.950113	1.950113	
7.845805	7.845805	
12.879819	12.879819	
23.900227	23.900227	
32.517007	32.517007	
39.909297	39.909297	
47.573696	47.573696	
56.553288	56.553288	
61.904762	61.904762	
70.748299	70.748299	
76.916100	76.916100	
90.340136	90.340136	
98.820862	98.820862	
106.893424	106.893424	
115.056689	115.056689	
122.086168	122.086168	
132.108844	132.108844	
138.004535	138.004535	
143.990930	143.990930	
151.746032	151.746032	
158.639456	158.639456	
165.079365	165.079365	
171.428571	171.428571	
185.623583	185.623583	
194.149660	194.149660	
202.585034	202.585034	
208.117914	208.117914	
217.278912	217.278912	
231.139584	231.139584	r
